Shipment_ID,Distance_km,Weight_kg,Mode_of_Transport,Origin,Destination,Fuel_Price_per_Liter,Demand_Fluctuation,Traffic_Conditions,Warehouse_Processing_Time,Customs_Clearance_Delay,Packaging_Cost,Freight_Insurance_Cost,Freight_Cost_USD
SHIP00021,1132,1238,Road,Kolkata,Singapore,1.76,1.07340905574947,High,1,3,371.03,869.62,330.8
SHIP00022,2608,4347,Road,Chennai,Los Angeles,1.69,0.843600294469621,High,4,1,321.95,680.27,681.69
SHIP00023,,790,Sea,Delhi,Singapore,1.76,0.902275777502639,Low,9,1,366.76,797.95,593.6
SHIP00024,2797,1419,Rail,Bangalore,Dubai,1.87,1.11798417837421,Medium,2,3,52.47,999.77,879.7
SHIP00025,1025,1439,Rail,Kolkata,Singapore,1.87,1.06804907718115,High,8,4,378.39,514.97,418.1
SHIP00026,1856,2050,Road,Kolkata,Los Angeles,1.66,0.906501409368234,Low,7,3,170.1,176.43,433.53
SHIP00027,239,1521,Rail,Kolkata,Los Angeles,1.37,0.959260216493024,High,7,1,133.39,841.39,157.62
SHIP00028,2784,1586,Rail,Chennai,London,1.34,0.847899861621487,High,3,4,316.03,755.45,487.7
SHIP00029,3055,368,Sea,Kolkata,Singapore,0.52,0.901251042857728,High,2,4,59.35,779.78,227.69
SHIP00030,4708,2314,Rail,Mumbai,Singapore,1.58,1.1364607363819,Medium,2,1,128.24,202.99,1263.75
SHIP00031,1949,1944,Rail,Delhi,Los Angeles,0.84,0.976164257496699,Low,3,4,280.87,766.9,287.42
SHIP00032,1317,3761,Sea,Bangalore,London,1.74,1.05611713896764,Medium,3,0,392.06,612.91,881.38
SHIP00033,1578,4869,Road,Delhi,London,1.33,0.863896588287523,High,2,2,435.77,98.07,461.03
SHIP00034,3252,2872,Road,Mumbai,Dubai,,0.873322265594221,High,7,4,218.97,327.53,810.64
SHIP00035,3606,4558,Sea,Mumbai,Dubai,0.82,1.17636844780944,Medium,2,4,488.25,259.29,851.52
SHIP00036,3940,1325,Air,Delhi,Los Angeles,1.59,1.13657343585401,High,6,0,389.09,326.58,2495.22
SHIP00037,696,3133,Sea,Chennai,London,1.32,1.11613230366918,High,5,0,207.21,239.8,500
SHIP00038,2938,450,Air,Mumbai,London,1.9,0.931836113522328,Medium,7,3,201.83,427.96,1680.02
SHIP00039,2485,773,Rail,Kolkata,Dubai,0.9,1.02510239374795,Low,7,1,225.51,256.16,317.91
SHIP00040,650,2379,Road,Bangalore,Dubai,0.59,0.996936424673113,High,8,3,376.13,426.3,108.2
SHIP00041,2413,1185,Air,Bangalore,Los Angeles,1.32,1.18249226269221,High,4,1,166.7,65.76,1407.38
SHIP00042,2111,2820,Air,Mumbai,London,1.28,0.895853772097737,Low,5,0,60.1,749.14,1211.25
SHIP00043,291,4896,Rail,Kolkata,Los Angeles,0.97,1.17889319045623,Medium,4,2,285.79,379.7,375.85
SHIP00044,2091,317,Road,Delhi,Dubai,1.98,1.08274017541995,Medium,7,1,312.26,323.16,
SHIP00045,2874,619,Rail,Bangalore,Singapore,0.6,0.965476617947124,High,3,1,470.76,865.96,221.3
SHIP00046,2662,2606,Road,Kolkata,Dubai,1.35,0.906541944515683,High,2,0,75.95,761.26,485.25
SHIP00047,,2023,Road,Kolkata,London,0.89,1.10294134467724,Medium,4,4,271.37,869.94,237.99
SHIP00048,1528,595,Rail,Chennai,Los Angeles,0.5,1.12917397069443,High,5,3,116,879.25,123.68
SHIP00049,,2872,Air,Mumbai,London,1.98,0.943010952931503,Medium,1,2,380.56,743.18,2264.12
SHIP00050,825,4510,Sea,Kolkata,Dubai,1.22,0.868751964454641,Medium,3,1,183.37,104.69,489.66
SHIP00051,4064,,Road,Delhi,Dubai,1.79,0.996897830848166,Medium,8,4,322.59,140.86,1143.83
SHIP00052,84,320,Road,Bangalore,New York,1.76,0.987400932137454,High,5,0,94.48,119.66,42.4
SHIP00053,3202,788,Sea,Chennai,Dubai,1.72,1.09016103319443,Medium,1,1,294.74,285.54,1011.42
SHIP00054,2005,1307,Sea,Delhi,London,,1.18927394165747,Low,4,4,17.48,870.66,564.36
SHIP00055,1635,108,Rail,Bangalore,Los Angeles,,1.01251287819449,Low,8,3,421.97,86.37,377.6
SHIP00056,3993,4231,Road,Mumbai,Los Angeles,,1.09268771542427,Medium,8,0,299.31,103.75,700.84
SHIP00057,3123,4908,Rail,Delhi,New York,1.11,0.940231861702178,Low,2,4,118.05,161.73,698.46
SHIP00058,1071,439,Sea,Bangalore,London,0.88,1.03982989721764,Medium,9,4,173.93,599.43,177.13
SHIP00059,3511,,Rail,Chennai,Dubai,1.17,0.846131172866048,High,1,1,83.49,353.2,
SHIP00060,2663,4294,Road,Bangalore,Singapore,1.98,1.12597363338617,High,8,3,339.78,943.77,1072.35
SHIP00061,3893,4728,Air,Kolkata,Los Angeles,1.36,0.937729691653823,High,8,0,193.59,178.55,2393.89
SHIP00062,1550,170,Air,Chennai,London,1.75,0.832016539016531,Medium,6,0,477.62,814.35,714.18
SHIP00063,4848,2702,Road,Delhi,New York,0.9,1.196224553098,Medium,1,3,448.4,662.61,667.39
SHIP00064,211,2353,Rail,Mumbai,Singapore,1.93,1.16071529158846,Low,9,2,408.93,670.51,372.99
SHIP00065,4347,4911,Sea,Chennai,London,0.52,0.878973338270275,Low,3,1,139.8,384.19,466.38
SHIP00066,2031,2961,Sea,Chennai,Dubai,1.9,0.945280740112942,High,1,4,152.79,54.3,946.02
SHIP00067,1045,849,Air,Chennai,Los Angeles,1.85,1.17468707861905,Medium,7,1,210.34,398.19,
SHIP00068,4961,3430,Rail,Bangalore,Dubai,0.6,1.11853149113009,Low,5,3,459.96,621.31,537.65
SHIP00069,3392,2156,Sea,Kolkata,New York,1.41,1.16256488831011,High,2,4,242.1,750.48,1099.09
SHIP00070,4601,1159,Sea,Mumbai,Los Angeles,1.68,1.02501991137736,Medium,1,2,56.95,575.37,1338.15
SHIP00071,3848,1300,Road,Mumbai,Singapore,1.11,0.897246488188039,Low,6,3,124.33,982.02,
SHIP00072,1325,2690,Rail,Kolkata,Los Angeles,0.64,0.8908214109351,Low,1,1,33.33,607.22,182.67
SHIP00073,1066,1699,Rail,Bangalore,Dubai,1.74,1.01026807409502,Low,6,4,38.17,128.91,404.06
SHIP00074,387,1395,Sea,Bangalore,London,1.2,1.16959998845495,Low,1,0,462.21,862.25,228.32
SHIP00075,928,3006,Rail,Kolkata,London,0.89,1.05263479308107,High,7,4,312.32,670.16,
SHIP00076,1126,2496,Rail,Kolkata,London,0.61,0.813756211516685,High,7,4,59.64,541.24,141.41
SHIP00077,4937,3414,Rail,Delhi,New York,1.46,1.02419029120009,Low,4,3,296.01,790.16,1192.19
SHIP00078,4043,534,Road,Bangalore,New York,0.56,1.0433763514485,Medium,7,2,485.97,705.77,251.83
SHIP00079,4909,852,Sea,Chennai,London,1.69,1.03262201311892,Medium,8,4,17.44,951.39,1396.54
SHIP00080,429,1765,Air,Mumbai,Singapore,1.66,1.07643046949065,Medium,8,4,375.07,490.97,
SHIP00081,542,1965,Rail,Bangalore,Dubai,0.98,0.91740553597908,High,3,2,96.42,725.2,164.47
SHIP00082,,3533,Sea,Kolkata,Singapore,1.21,0.857506123455474,Medium,8,2,194.78,486.18,603.64
SHIP00083,3934,1807,Air,Chennai,London,1.5,1.10001945157918,Medium,3,4,65.91,314.15,2394.6
SHIP00084,114,,Road,Delhi,Dubai,1.94,0.878541235175443,Medium,5,0,13.16,353.52,177.85
SHIP00085,2618,3057,Sea,Delhi,New York,1.28,0.845663584167593,Medium,1,0,59.21,612.42,673.26
SHIP00086,,3275,Road,Chennai,Los Angeles,2,0.943750875065665,High,7,0,290.66,221.44,701.11
SHIP00087,2745,3545,Sea,Chennai,Los Angeles,0.99,1.13310164680659,Medium,8,3,451.54,530.12,2882.87014373872
SHIP00088,1545,2370,Road,Kolkata,Dubai,1.29,0.832843323165943,Low,4,3,20.55,708.73,293.3
SHIP00089,441,1720,Sea,Kolkata,Singapore,0.67,0.8782245434966,High,7,0,40.8,559.62,114.83
SHIP00090,4564,4665,Road,Mumbai,Dubai,1.33,0.990103751301091,Medium,7,0,89.81,584.4,908.16
SHIP00091,4524,1201,Air,Mumbai,Singapore,1.3,0.915058788508537,Low,6,0,486.81,251.9,1828.8
SHIP00092,3611,4797,Sea,Delhi,Singapore,1.77,1.08866440357018,High,5,2,93.41,674.77,1736.99
SHIP00093,2328,2273,Air,Chennai,Los Angeles,1.99,1.06996097069331,Low,4,1,240.02,617.55,2213.01
SHIP00094,3149,2717,Rail,Delhi,New York,1.98,1.13700654520258,Medium,5,3,30.51,556.77,1217.71
SHIP00095,250,260,Air,Kolkata,London,0.85,0.881537270099666,Medium,7,3,426.83,711.28,
SHIP00096,4925,,Sea,Bangalore,New York,1.01,1.0595675018028,Medium,8,3,474.3,715.94,994.77
SHIP00097,3154,4731,Air,Kolkata,London,0.91,1.10989380037277,Low,4,1,380.55,707.42,1672.41
SHIP00098,4648,4312,Sea,Bangalore,Los Angeles,0.8,0.825066849111551,High,5,4,286,183.56,673.65
SHIP00099,2504,2557,Road,Chennai,London,0.73,0.814729177067758,Low,6,3,131.94,609.54,224.97
SHIP00100,3695,,Rail,Chennai,Singapore,1.27,1.02370333522431,Low,9,4,97.65,713.84,811.5
SHIP00101,854,3478,Air,Chennai,Dubai,1.81,1.03514190722648,Low,6,2,262.64,627.95,1457.48
SHIP00102,2781,3425,Rail,Mumbai,London,1.38,0.957123503882364,Medium,7,0,152.38,233.26,712.22
SHIP00103,2823,4005,Air,Mumbai,New York,1.81,0.8144293256385,Low,8,0,338.52,72.65,2134.01
SHIP00104,1620,3755,Sea,Bangalore,Los Angeles,1.94,0.960768728143169,Low,3,2,139.9,628.07,977.84
SHIP00105,2740,3455,Air,Delhi,Los Angeles,1.07,1.05683541645649,Low,5,0,93.41,259.44,1515.57
SHIP00106,3890,,Rail,Delhi,Dubai,1.75,1.0807521676266,High,4,2,294.96,836.24,1346.77
SHIP00107,1078,1102,Air,Bangalore,Singapore,0.58,0.997116589577178,Low,1,0,382.81,938.62,282.63
SHIP00108,552,763,Rail,Mumbai,Singapore,1.22,1.01000999097028,Low,4,2,46.14,846.6,138.03
SHIP00109,4543,2938,Rail,Kolkata,Los Angeles,1.05,1.06906971035702,Medium,2,2,313.37,211.98,809.83
SHIP00110,920,737,Sea,Bangalore,Singapore,0.81,0.979720952776728,Low,4,0,409.59,827.54,153.38
SHIP00111,4538,379,Road,Delhi,Dubai,1.16,0.905405979471474,Low,2,4,13.11,219.59,496.52
SHIP00112,256,1796,Road,Bangalore,Los Angeles,1.17,0.889187955217139,Medium,4,3,119.73,333.25,120.06
SHIP00113,1534,1257,Air,Bangalore,Singapore,1.71,1.10110116427199,Low,4,3,156.3,836.81,1221.52
SHIP00114,913,2192,Rail,Chennai,London,1.8,0.995019454652308,Low,3,1,16.88,188,431.78
SHIP00115,2840,834,Sea,Mumbai,London,1.49,1.04963439812847,High,5,1,342.21,228.44,764.07
SHIP00116,613,2746,Road,Chennai,Singapore,1.45,0.988442316894001,High,9,0,215.5,852.84,284.64
SHIP00117,4241,3870,Sea,Mumbai,London,0.67,1.12753496656953,Low,1,3,327.21,987.8,699.85
SHIP00118,1807,3768,Sea,Bangalore,Dubai,1.36,0.998738939091161,High,7,1,208.42,654.06,752.01
SHIP00119,1728,2743,Rail,Mumbai,New York,,1.19522184956932,Low,1,3,95.23,636.49,404.54
SHIP00120,3292,675,Air,Delhi,Dubai,0.94,0.897041845887829,High,1,2,262.72,563.54,
SHIP00121,4686,4284,Rail,Chennai,Dubai,0.64,0.855410674894226,Low,2,4,364.39,282.34,448.57
SHIP00122,1109,3758,Road,Bangalore,Singapore,1.45,0.949438607565479,High,6,2,85.8,85.9,411.35
SHIP00123,1772,811,Road,Delhi,Dubai,1.38,1.16746264429508,Low,9,1,183.34,477.79,350.82
SHIP00124,3364,4029,Sea,Mumbai,Singapore,0.83,1.14092503934754,Medium,3,1,369.88,854.61,763.99
SHIP00125,3207,3579,Rail,Mumbai,Los Angeles,0.89,0.898941186257263,Medium,5,0,331.63,894.13,479.7
SHIP00126,2675,,Rail,Delhi,Singapore,1.66,1.0398790272784,Low,8,4,499.78,530.31,720.34
SHIP00127,2779,3683,Sea,Mumbai,Singapore,1.69,1.03557589540929,High,6,4,95.01,942.69,1212.97
SHIP00128,1647,725,Air,Chennai,Los Angeles,1.24,0.917358757945082,Medium,3,3,178.6,585.66,685.76
SHIP00129,3110,4237,Sea,Kolkata,New York,0.72,0.894152671674252,High,2,0,107.06,771.49,504.91
SHIP00130,2743,86,Sea,Mumbai,Los Angeles,0.58,0.956019794560929,High,3,4,129.64,469.82,231.72
SHIP00131,4941,3886,Road,Bangalore,Singapore,0.91,1.11544752032216,Medium,6,1,105.9,128.03,698.77
SHIP00132,3677,1837,Rail,Mumbai,London,1.6,0.876686016621025,Medium,5,2,494.66,845.9,773.53
SHIP00133,1413,2777,Road,Bangalore,Singapore,1.4,0.978289375449379,High,8,2,326.71,945.96,383.69
SHIP00134,2031,3930,Sea,Mumbai,Los Angeles,1.58,0.992679419381277,Low,2,4,51.47,737.37,940.12
SHIP00135,1713,1944,Rail,Mumbai,Singapore,1.21,1.17564988950975,Medium,2,2,265.08,438.53,458.34
SHIP00136,1579,186,Sea,Bangalore,Los Angeles,1.63,0.92140898450861,Low,4,1,50.58,867.33,
SHIP00137,2088,3126,Sea,Chennai,Dubai,1.22,0.807858629075253,Low,9,3,201.36,649.45,539.76
SHIP00138,3352,3933,Air,Kolkata,New York,0.63,1.07749249701702,Medium,5,1,323.67,52.64,1083.09
SHIP00139,2287,711,Road,Kolkata,New York,0.62,1.10231660096092,Low,7,4,33.25,938.54,180.6
SHIP00140,1356,1860,Road,Chennai,Los Angeles,1.75,1.08121295657028,Low,7,1,32.72,489.79,432.54
SHIP00141,4079,464,Sea,Mumbai,New York,1.44,1.08029559247501,Low,6,1,132.79,215.64,1005.95
SHIP00142,2725,392,Air,Kolkata,London,0.92,0.993290966004763,Low,6,2,332.94,223.86,800.79
SHIP00143,1332,2779,Sea,Chennai,London,1.64,0.807464321792281,High,9,3,463.04,374.15,540.59
SHIP00144,759,3500,Sea,Chennai,New York,0.7,1.09196719013877,Low,4,0,143.18,90.37,287.67
SHIP00145,4794,3715,Sea,Kolkata,Los Angeles,1.47,1.17460807562031,Low,2,4,478.67,340.23,1722.75
SHIP00146,4463,3787,Air,Bangalore,London,1.98,0.862954542214146,Low,7,4,278.67,136.6,3258.31
SHIP00147,3798,3947,Rail,Delhi,New York,0.73,0.827165703633427,Low,6,1,256.36,241.84,418.2
SHIP00148,4829,4291,Air,Bangalore,Singapore,0.71,0.906082115428094,High,4,2,60.57,67.14,1346.05
SHIP00149,713,4468,Sea,Mumbai,London,1.2,1.13991754112528,High,1,2,478.18,696.96,604.68
SHIP00150,2048,2219,Rail,Bangalore,Dubai,1.46,0.842458871154907,High,4,4,397.82,596.81,466.04
SHIP00151,3495,1928,Sea,Delhi,London,,1.08606736026967,Medium,6,0,11.59,137.56,392.26
SHIP00152,3793,4020,Air,Delhi,New York,1.25,0.825178973675154,Medium,3,0,398.53,786.62,1795.69
SHIP00153,1545,4746,Air,Chennai,New York,0.62,0.813115606031934,High,1,3,281.14,703.65,592.56
SHIP00154,3354,,Rail,Mumbai,New York,0.86,1.15652075042249,Medium,2,1,58.87,196.68,676.02
SHIP00155,3813,2667,Air,Chennai,Los Angeles,1.57,1.10822409318634,High,6,4,353.62,89.34,2686.34
SHIP00156,1903,1565,Sea,Bangalore,Los Angeles,1.61,1.03943401959361,Low,1,0,336.38,178.29,674.12
SHIP00157,4709,624,Rail,Bangalore,Singapore,1.59,0.86879810150989,High,6,0,344.18,161.06,832.31
SHIP00158,1341,4492,Road,Kolkata,Singapore,0.6,0.911539449733442,High,1,2,439.06,629.83,196.18
SHIP00159,3631,2917,Sea,Chennai,London,1.68,0.819441796331301,Medium,1,3,382.44,98.67,1050.98
SHIP00160,3507,3594,Road,Chennai,New York,1.15,1.05814514114686,High,6,4,456.38,345.4,645.43
SHIP00161,1686,4527,Rail,Chennai,Singapore,1.21,1.07443432820932,Low,1,3,197.24,391.06,616.15
SHIP00162,3746,121,Rail,Chennai,New York,1.13,0.930723504719999,High,9,0,285.47,131.42,480.4
SHIP00163,3049,2618,Sea,Delhi,London,1.79,0.935366526781307,High,2,3,493.04,376.11,1094.49
SHIP00164,3202,3487,Air,Kolkata,Los Angeles,1.52,1.05159105858816,High,9,0,299.17,587.91,2371.49
SHIP00165,748,3030,Sea,Mumbai,Singapore,1.25,1.17826590537195,High,5,2,216.98,356.08,499.95
SHIP00166,2210,,Air,Mumbai,Dubai,1.75,0.957883770503137,Medium,5,1,238.92,934.15,
SHIP00167,4147,2436,Air,Mumbai,Dubai,1.71,0.997436154187651,Medium,8,4,371.98,321.65,2745.19
SHIP00168,4787,3558,Sea,Delhi,Dubai,0.51,1.07931038831971,Medium,1,1,188.93,668.41,542.14
SHIP00169,904,1409,Rail,Kolkata,Dubai,1.22,0.936928382192572,High,9,3,33.57,561.77,220.63
SHIP00170,3524,4809,Sea,Kolkata,Dubai,,1.14754332830239,Low,1,0,458.16,406.41,571.47
SHIP00171,1757,1565,Road,Delhi,Dubai,0.96,1.13847262034479,Medium,5,1,246.13,970.44,
SHIP00172,2827,89,Rail,Chennai,Dubai,1.71,1.06971319303989,Low,8,2,264.2,865.97,630.31
SHIP00173,1783,1432,Air,Bangalore,Singapore,1.92,1.01476943976339,Medium,1,3,187.36,240.63,1460.68
SHIP00174,4981,2080,Rail,Chennai,Dubai,0.86,1.19340837051883,Low,5,3,460.86,973.84,741.54
SHIP00175,3560,2671,Sea,Mumbai,Dubai,,1.08095220795966,High,3,1,100.45,68.13,420.7
SHIP00176,252,1950,Rail,Chennai,London,1.1,1.05729064181828,High,8,3,201.45,60.29,171.24
SHIP00177,3305,2267,Air,Delhi,Singapore,1,1.15072717612892,Medium,3,4,195.86,140.66,1532.25
SHIP00178,4268,4846,Air,Mumbai,London,1.52,1.0219962696557,Low,8,1,256.42,387.88,3118.21
SHIP00179,4546,4656,Rail,Bangalore,New York,1.24,0.897169422730739,High,2,1,484.87,396.71,917.67
SHIP00180,816,1333,Road,Mumbai,Dubai,1.1,0.855108913218887,High,3,2,108.11,103.02,139.45
SHIP00181,4439,633,Air,Chennai,Los Angeles,,0.988412859066139,High,1,3,321.16,755.88,1184.5
SHIP00182,2377,508,Road,Kolkata,Dubai,1.74,1.00626166241946,Medium,1,2,283.36,354.83,460.66
SHIP00183,2981,2315,Air,Kolkata,Dubai,0.87,1.13107769480446,Low,4,3,138.56,950.61,1221.73
SHIP00184,247,2716,Rail,Kolkata,London,0.58,0.85578980311354,Medium,5,1,212.55,998.32,95.6
SHIP00185,1980,865,Air,Mumbai,New York,1.35,1.07249208959196,Low,3,3,216.92,705.68,1047.89
SHIP00186,3632,2561,Road,Kolkata,London,0.98,0.921650773929745,Medium,2,2,123.5,159.52,443.71
SHIP00187,658,296,Road,Delhi,Singapore,1.57,1.17561209792906,High,1,1,247.4,541.32,148.76
SHIP00188,,4875,Rail,Bangalore,New York,0.62,0.988168540048776,Low,3,3,101.02,795.51,423.44
SHIP00189,1197,466,Road,Kolkata,New York,1.95,1.04895928784974,Medium,1,2,111.17,922.33,292.5
SHIP00190,4332,4513,Road,Delhi,New York,0.78,1.06004327598919,High,6,3,426.02,455.31,544.76
SHIP00191,3447,3767,Rail,Delhi,London,1.04,0.836402030082518,High,3,2,467.57,50.22,556.41
SHIP00192,2561,157,Air,Mumbai,Dubai,1.22,1.14087802498828,Low,4,4,200.93,436.49,1102.15
SHIP00193,1844,2681,Rail,Mumbai,Dubai,1.84,0.865694567969351,Medium,8,2,15.12,594.03,
SHIP00194,709,888,Air,Bangalore,Dubai,1.58,0.958967650782939,High,5,0,446.23,155.46,524.1
SHIP00195,2861,4563,Air,Bangalore,Dubai,0.72,1.06902547464259,Low,5,3,397.71,663.8,1187.45
SHIP00196,1419,4966,Air,Chennai,Dubai,1.16,0.822087960443472,Low,8,0,213.83,584.57,1116.31
SHIP00197,2036,1471,Sea,Bangalore,Singapore,1.31,1.03216953967402,High,4,4,313.53,503.9,562.12
SHIP00198,196,4828,Air,Mumbai,Los Angeles,1.55,0.963966452940027,Medium,8,2,457.9,565.23,1169.92
SHIP00199,3269,3962,Rail,Delhi,New York,1.36,0.825541042505894,Low,5,1,493.91,78.34,707.32
SHIP00200,2961,,Rail,Chennai,Los Angeles,1.19,1.09055644842082,High,6,1,238.33,765.24,484.87
SHIP00201,1784,2877,Rail,Bangalore,Singapore,1.65,1.00053335704571,High,1,2,239.88,713.83,638.4
SHIP00202,1893,887,Sea,Delhi,Dubai,1.07,0.921376069637447,High,9,4,436.86,240.75,345.52
SHIP00203,538,3012,Road,Mumbai,Singapore,1.98,0.833731118569176,Medium,4,2,375.44,122.81,337.42
SHIP00204,3026,2332,Sea,Kolkata,Singapore,1.92,1.01898968218741,Medium,1,1,400.1,423.01,1230.22
SHIP00205,2009,602,Rail,Chennai,Los Angeles,1.56,0.922385070696744,Low,7,1,313.31,769.61,398.87
SHIP00206,2435,,Rail,Delhi,New York,1.82,1.17867369255932,Low,4,1,188.81,425.58,
SHIP00207,2969,4302,Road,Mumbai,London,1.09,1.03660647226814,High,5,2,103.5,736.5,578.51
SHIP00208,4786,1527,Sea,Mumbai,London,1.37,0.914026043341014,Low,7,4,476.9,787.61,1042.38
SHIP00209,1852,,Rail,Chennai,New York,0.91,1.01144721987558,High,7,4,84.51,93.61,238.79
SHIP00210,4111,1777,Air,Chennai,Dubai,1.83,1.01579815559141,Low,9,4,229.34,425.62,2788.09
SHIP00211,3419,641,Air,Bangalore,Singapore,1.21,1.09070464147415,Medium,9,1,244.12,988.88,1480.56
SHIP00212,312,4566,Rail,Bangalore,Dubai,1.3,1.16088092926673,Medium,7,3,446.37,74.98,469.95
SHIP00213,673,,Air,Chennai,Singapore,1.8,1.18503744862072,High,9,2,357.95,900.2,1169.77
SHIP00214,1066,2997,Road,Chennai,London,1.7,1.08715630810225,Low,5,1,127.85,161.06,473.96
SHIP00215,,,Rail,Delhi,New York,0.98,1.01836529635822,Low,2,4,108.21,629.99,466.05
SHIP00216,2099,215,Sea,Bangalore,Los Angeles,0.63,0.889972834589155,Low,9,2,474.1,952.26,185.57
SHIP00217,3773,4493,Rail,Mumbai,Los Angeles,,0.961211766663359,High,6,4,31.37,635.15,513.8
SHIP00218,4598,2946,Road,Bangalore,New York,,0.99551559635595,Low,6,0,448.48,230.63,610.42
SHIP00219,3158,4543,Sea,Bangalore,London,0.96,0.851348461238865,Medium,9,1,116.83,247.09,665.63
SHIP00220,4140,632,Road,Chennai,Singapore,0.56,0.902561522594942,Low,1,4,54.09,78.65,225.22
SHIP00221,2106,3556,Air,Chennai,Los Angeles,1.15,1.19378104251268,Medium,2,0,149.14,388.01,1599.64
SHIP00222,3220,4453,Air,Bangalore,London,,1.1026760207725,Low,3,4,280.58,605.53,1189.13
SHIP00223,1732,3088,Air,Kolkata,New York,0.83,0.992802681187293,High,1,1,431.72,819.8,809.85
SHIP00224,2305,2895,Road,Kolkata,Dubai,1.68,0.890413025897433,High,4,3,341.53,603.58,561.33
SHIP00225,1204,2816,Road,Bangalore,London,1.24,1.02937906563299,Low,2,4,388.84,916.46,333.4
SHIP00226,4549,4244,Rail,Kolkata,London,1.06,0.892750067828199,Low,3,4,457.76,706.85,757.54
SHIP00227,3241,1315,Sea,Bangalore,Dubai,0.78,0.877243506328852,Medium,8,0,12.69,575.27,400.13
SHIP00228,1746,4303,Sea,Chennai,London,1.8,0.837502552746195,High,4,1,329.03,245.74,881.32
SHIP00229,4041,4699,Road,Chennai,Los Angeles,1.86,0.938341215055223,Low,9,4,198.87,795.87,1115.34
SHIP00230,4773,4796,Road,Chennai,Los Angeles,1.28,1.01668927525873,High,6,2,310.32,337.82,933.21
SHIP00231,4732,3017,Air,Mumbai,Los Angeles,1.88,0.863731047175811,High,1,1,35.9,354.84,3040.02
SHIP00232,1698,2324,Road,Chennai,London,1.2,0.88017419135727,Low,6,0,83.69,150.72,302.08
SHIP00233,1495,2520,Air,Chennai,London,0.66,0.956455691331729,Low,7,0,361.8,98.33,521.74
SHIP00234,4249,2340,Road,Bangalore,London,0.53,0.995812655588412,Low,4,0,441.91,482.51,286
SHIP00235,3973,2627,Sea,Kolkata,New York,0.69,1.10491327166608,Low,8,1,253.82,166.58,604.56
SHIP00236,303,3710,Rail,Kolkata,Dubai,1.43,1.02665126601786,Medium,3,1,104.97,371.66,380.18
SHIP00237,3233,1118,Road,Chennai,London,0.98,1.04708042807365,Low,7,4,371.02,845.9,389.11
SHIP00238,2607,2786,Air,Chennai,Dubai,1.47,1.07848418093162,Medium,7,0,35.2,363,1902.45
SHIP00239,148,4879,Rail,Chennai,Singapore,1.26,0.980393173784646,Low,4,0,367.19,639.5,383.56
SHIP00240,2250,2000,Air,Bangalore,Los Angeles,1,0.93725333385739,High,1,1,406.26,858.4,913.82
SHIP00241,3011,141,Air,Bangalore,New York,0.83,1.12016829635098,Low,6,1,39.88,191.7,859.5
SHIP00242,4483,3143,Rail,Bangalore,Dubai,0.62,1.13132816681981,Medium,7,2,207.66,949.24,509.61
